Timestamps(ms),AccelX,AccelY,AccelZ
2011,-0.3903,1.0918,10.9918
2091,-0.3879,1.0726,11.0038
2101,-0.3184,1.2450,10.9223
2111,-0.4262,1.1947,11.1067
2121,-0.3711,1.1660,10.9176
2131,-0.3807,1.2522,10.9630
2141,-0.4166,1.2186,10.9702
2151,-0.3950,1.1947,10.8816
2221,-0.2945,1.0894,11.1091
2231,-0.4357,1.1349,11.1857
2241,-0.4429,1.2354,10.7763
2251,-0.3687,1.1732,11.1761
2261,-0.4022,1.1564,10.9774
2271,-0.4118,1.2019,10.9630
2281,-0.4070,1.1779,10.9295
2359,-0.4884,1.2665,10.9678
2369,-0.3472,1.0582,11.0445
2379,-0.3543,1.2067,10.7524
2389,-0.3663,1.1372,10.9846
2399,-0.3041,1.1540,11.0301
2409,-0.4717,1.2833,10.8290
2419,-0.4549,1.1109,11.0373
2500,-0.3376,1.1779,10.8984
2510,-0.3998,1.1540,11.0612
2520,-0.3711,1.1875,10.7859
2530,-0.3783,1.1444,11.0133
2540,-0.3663,1.2210,10.8697
2550,-0.3136,1.0080,11.0636
2560,-0.4860,1.2330,10.9630
2637,-0.3711,1.1372,11.0468
2647,-0.4597,1.2426,10.6829
2657,-0.2897,1.0175,11.2049
2667,-0.2945,1.2450,10.8960
2677,-0.3639,1.0965,10.8433
2687,-0.3304,1.2402,10.9846
2697,-0.3448,1.1277,10.9822
2770,-0.4214,1.2354,11.0229
2780,-0.4118,1.2474,11.0157
2790,-0.3687,1.1492,11.0492
2800,-0.4334,1.2570,10.8122
2810,-0.3926,1.1205,11.0133
2820,-0.4166,1.1875,11.0301
2830,-0.4022,1.1995,10.9056
2840,-0.3519,1.1277,11.0253
2923,-0.4381,1.1708,10.9367
2933,-0.3879,1.1516,11.0397
2943,-0.3711,1.2043,10.9942
2953,-0.3711,1.1827,10.9798
2963,-0.3663,1.1516,11.0373
2973,-0.4022,1.1660,10.9295
2983,-0.3400,1.1851,10.9535
3064,-0.3687,1.1396,11.0660
3074,-0.3831,1.1468,10.9702
3084,-0.3376,1.1851,10.9583
3094,-0.3879,1.1756,10.9750
3104,-0.4070,1.1612,11.0085
3114,-0.3998,1.2163,10.9726
3124,-0.3639,1.2857,10.9846
3202,-0.4262,1.1732,11.0133
3212,-0.3496,1.2115,10.9702
3222,-0.3280,1.2043,10.9822
3232,-0.3591,1.1684,10.9247
3242,-0.3567,1.1660,10.9918
3252,-0.3831,1.1947,10.8745
3262,-0.4070,1.1588,10.9535
3340,-0.3519,1.1492,10.9391
3350,-0.3974,1.1564,10.9607
3360,-0.3639,1.2091,10.9630
3370,-0.4477,1.1516,11.0564
3380,-0.3472,1.2330,10.9271
3390,-0.3352,1.1420,10.8625
3400,-0.3424,1.1875,10.8936
3481,-0.3735,1.2330,10.9678
3491,-0.3591,1.1971,10.9630
3501,-0.3735,1.1157,10.8912
3511,-0.4334,1.1684,11.0229
3521,-0.3974,1.1660,10.9870
3531,-0.3591,1.2186,10.9726
3541,-0.2969,1.1564,10.9750
3619,-0.3807,1.1803,10.9032
3629,-0.4142,1.1468,10.9535
3639,-0.3352,1.2330,10.9080
3649,-0.3950,1.1971,10.9918
3659,-0.4357,1.1684,10.9487
3669,-0.4118,1.1827,10.9487
3679,-0.3615,1.2258,10.9726
3757,-0.3615,1.1588,10.9559
3767,-0.3232,1.1492,10.9152
3777,-0.3567,1.1588,10.9295
3787,-0.3759,1.1636,11.0205
3797,-0.3687,1.2474,10.9942
3807,-0.3903,1.1971,10.9702
3817,-0.3615,1.1899,11.0325
3895,-0.3496,1.0846,10.9391
3905,-0.3711,1.2234,11.0468
3915,-0.3903,1.1684,10.9607
3925,-0.3280,1.1564,11.0229
3935,-0.4334,1.1827,10.9654
3945,-0.3519,1.1612,10.9894
3955,-0.3879,1.1396,10.8577
4033,-0.3472,1.2450,10.9966
4043,-0.4190,1.1899,10.9726
4053,-0.4238,1.2139,10.9678
4063,-0.3950,1.1612,10.9990
4073,-0.3687,1.1708,10.9798
4083,-0.3926,1.1875,10.9319
4093,-0.3639,1.1899,10.9200
4171,-0.3783,1.1612,10.9583
4181,-0.4094,1.1109,10.9271
4191,-0.3711,1.1756,10.9630
4201,-0.4070,1.1468,10.8601
4211,-0.3519,1.1516,10.8864
4221,-0.3855,1.2115,10.9271
4231,-0.3591,1.1827,10.9487
4309,-0.4070,1.1851,10.9247
4319,-0.3735,1.1253,10.9559
4329,-0.3567,1.2091,10.9128
4339,-0.3639,1.1420,10.9750
4349,-0.3759,1.1636,10.9894
4359,-0.3567,1.2210,10.9966
4369,-0.3735,1.1444,10.9654
4439,-0.3352,1.1803,10.9128
4449,-0.3352,1.1947,10.9822
4459,-0.3352,1.2139,10.9415
4469,-0.3424,1.1564,10.9415
4479,-0.3567,1.2067,10.9128
4489,-0.3496,1.1875,11.0133
4499,-0.3304,1.1540,10.9152
4509,-0.4238,1.2091,10.9032
4592,-0.3472,1.1516,10.9822
4602,-0.3352,1.1827,10.8625
4612,-0.3280,1.1588,10.9391
4622,-0.3519,1.1660,10.9295
4632,-0.3855,1.1540,10.9319
4642,-0.3543,1.1947,10.9822
4652,-0.3424,1.2474,10.9918
4733,-0.4286,1.1492,10.9439
4743,-0.3543,1.1875,10.9822
4753,-0.3280,1.1923,11.0468
4763,-0.3783,1.1396,10.9870
4773,-0.3543,1.1803,10.9559
4783,-0.3136,1.1636,10.9128
4793,-0.3615,1.1971,10.9942
4870,-0.4070,1.1803,10.9966
4880,-0.3160,1.1636,11.0038
4890,-0.3663,1.1588,11.0516
4900,-0.4022,1.1756,11.0181
4910,-0.4070,1.1708,10.9367
4920,-0.3232,1.1875,10.8697
4930,-0.3735,1.2163,11.0014
5003,-0.4142,1.1660,10.8888
5013,-0.3543,1.1636,10.9295
5023,-0.3615,1.1612,11.0301
5033,-0.3759,1.2306,10.9439
5043,-0.3160,1.1612,11.0157
5053,-0.3639,1.1492,10.9918
5063,-0.3735,1.2570,10.8649
5140,-0.3639,1.1875,11.0038
5150,-0.3759,1.1349,10.9630
5160,-0.3519,1.1396,10.9966
5170,-0.4166,1.1684,10.9223
5180,-0.3519,1.2115,10.9319
5190,-0.2849,1.1923,10.9894
5200,-0.3639,1.1612,11.0301
5279,-0.3328,1.1205,10.9487
5289,-0.3496,1.2091,10.9271
5299,-0.3089,1.1181,11.0085
5309,-0.3735,1.1301,10.9271
5319,-0.4022,1.1540,10.9870
5329,-0.3831,1.1851,10.9678
5339,-0.3950,1.1349,10.9343
5420,-0.3496,1.1827,11.0421
5430,-0.3974,1.1732,11.0229
5440,-0.3926,1.2210,10.9918
5450,-0.3998,1.1995,10.9630
5460,-0.3280,1.1971,11.0373
5470,-0.3184,1.1827,11.0038
5480,-0.3903,1.1564,10.9128
5558,-0.3615,1.1516,10.9511
5568,-0.3639,1.2067,11.0205
5578,-0.4597,1.1684,11.0014
5588,-0.3663,1.1516,10.9894
5598,-0.4405,1.1851,11.0468
5608,-0.3663,1.1301,10.9870
5618,-0.3759,1.1612,10.9391
5699,-0.3184,1.2067,10.8888
5709,-0.3807,1.2546,11.0445
5719,-0.3615,1.2019,10.9343
5729,-0.3687,1.1540,10.9607
5739,-0.3855,1.2546,10.8793
5749,-0.3472,1.2186,10.9104
5759,-0.3496,1.1205,11.1139
5837,-0.3735,1.1756,10.9726
5847,-0.3663,1.0822,10.9223
5857,-0.3639,1.2474,10.9319
5867,-0.3998,1.2210,10.8721
5877,-0.3591,1.1492,10.8816
5887,-0.3567,1.1612,10.9511
5897,-0.4573,1.2426,10.8721
5975,-0.3472,1.2402,10.9056
5985,-0.2897,1.1372,11.0229
5995,-0.4070,1.1947,10.8984
6005,-0.3280,1.1013,10.9894
6015,-0.3232,1.1109,10.9822
6025,-0.3376,1.2737,10.9774
6035,-0.3855,1.2115,11.0445
6045,-0.4022,1.1037,10.9702
6125,-0.3543,1.2043,10.8769
6135,-0.4070,1.1420,11.0971
6145,-0.3639,1.2019,10.9630
6155,-0.3519,1.2282,11.0468
6165,-0.4238,1.1684,10.9990
6175,-0.3400,1.2330,10.8697
6185,-0.3519,1.0894,10.9630
6262,-0.3687,1.1349,11.0277
6272,-0.4262,1.3360,10.9343
6282,-0.3735,1.1588,11.0708
6292,-0.3424,1.1588,10.9630
6302,-0.3591,1.1995,10.9942
6312,-0.3687,1.1229,11.0014
6322,-0.3831,1.2091,10.9870
6402,-0.3926,1.2163,10.7548
6412,-0.3256,1.0942,11.2120
6422,-0.3759,1.2594,10.7859
6432,-0.4286,1.1444,10.9319
6442,-0.3974,1.0798,11.0445
6452,-0.3448,1.1875,10.7787
6462,-0.3352,1.1420,11.2264
6543,-0.3639,1.2067,10.9080
6553,-0.3328,1.2019,11.0780
6563,-0.4214,1.2139,10.8362
6573,-0.3615,1.2115,11.0253
6583,-0.4094,1.1277,10.9176
6593,-0.3903,1.1947,10.9583
6603,-0.3831,1.1660,10.9463
6669,-0.3472,1.1947,11.0397
6679,-0.3591,1.1971,10.9104
6689,-0.3807,1.1420,10.9654
6699,-0.3472,1.2163,10.9630
6709,-0.4022,1.1109,10.8816
6719,-0.3735,1.2977,10.9247
6729,-0.3424,1.0774,10.9271
6806,-0.3567,1.1684,10.9415
6816,-0.3328,1.1899,11.0253
6826,-0.4166,1.2186,10.8505
6836,-0.3448,1.2067,11.0780
6846,-0.4046,1.2043,10.9200
6856,-0.3855,1.1899,10.8146
6866,-0.2993,1.0463,11.0540
6944,-0.3711,1.1875,11.0205
6954,-0.3280,1.1349,10.8793
6964,-0.3759,1.1756,11.0205
6974,-0.4190,1.1851,10.9343
6984,-0.3926,1.2067,10.9774
6994,-0.3591,1.1684,10.9487
7004,-0.3639,1.1756,11.0181
7081,-0.3567,1.1875,11.2288
7091,-0.4334,1.2115,10.9894
7101,-0.4118,1.2163,10.8457
7111,-0.4597,1.2210,10.8625
7121,-0.3591,1.0942,10.9774
7131,-0.4190,1.2617,10.8338
7141,-0.3089,1.1372,11.0181
7214,-0.3280,1.1492,11.0540
7224,-0.3615,1.2881,10.8721
7234,-0.3903,1.2402,11.0397
7244,-0.3974,1.1229,10.9295
7254,-0.3759,1.2186,10.8840
7264,-0.3615,1.1923,11.0253
7274,-0.4070,1.2426,10.9056
7351,-0.3089,1.0487,11.0014
7361,-0.4573,1.2234,10.9918
7371,-0.2921,1.0822,11.0756
7381,-0.3903,1.3240,10.8601
7391,-0.3807,1.1349,10.9966
7401,-0.3639,1.0774,11.1498
7411,-0.3448,1.1947,10.7978
7488,-0.4238,1.0942,11.1953
7498,-0.3735,1.1516,10.9128
7508,-0.3543,1.1444,10.8122
7518,-0.2849,1.1109,11.0756
7528,-0.3783,1.2402,10.7763
7538,-0.3543,1.1301,11.1570
7548,-0.3136,1.1444,11.0061
7558,-0.4238,1.2474,10.8170
7634,-0.2634,0.9529,11.2527
7644,-0.3735,1.0774,11.1642
7654,-0.2442,1.3096,10.7811
7664,-0.4142,1.0511,11.2480
7674,-0.4597,1.3216,10.8026
7684,-0.4501,1.1779,10.8625
7694,-0.2634,0.9888,11.1139
7771,-0.4214,1.1564,11.0708
7781,-0.3639,1.2258,10.9367
7791,-0.3879,1.1756,11.0229
7801,-0.4214,1.1732,10.9966
7811,-0.3711,1.2019,10.9415
7821,-0.3112,1.2139,10.9343
7831,-0.3735,1.1947,10.9870
7908,-0.3974,1.1588,10.8960
7918,-0.3974,1.1971,10.9487
7928,-0.3591,1.1660,10.8960
7938,-0.3831,1.2186,10.9678
7948,-0.3639,1.1492,11.0780
7958,-0.3783,1.1875,10.9295
7968,-0.3639,1.1301,11.0133
8048,-0.3400,1.1756,10.8840
8058,-0.3687,1.2019,10.9247
8068,-0.3926,1.2091,10.8840
8078,-0.3807,1.2019,10.9870
8088,-0.3328,1.2019,10.9630
8098,-0.3687,1.2139,10.9678
